(45.05, 75.62)
(-58.78, -6.12)
(51.03, 86.36)
(86.92, 29.77)
(-30.88, -3.18)
(41.21, -71.48)
(-16.19, 44.37)
(39.24, -6.6)
(-79.22, -32.32)
(-38.07, 93.89)
(84.22, 5.38)
(-53.29, -34.41)
(-86.19, 6.23)
(87.77, -14.65)
(-67.66, 7.91)
(-23.65, -1.18)
(-49.92, 71.71)
(-76.6, -61.52)
(23.39, 74.0)
(3.25, 25.04)
(-13.19, 88.99)
(-43.71, -13.73)
(3.8, 7.53)
(4.48, -2.4)
(-54.33, -58.45)
(29.99, -5.22)
(-2.76, -20.01)
(-1.01, -7.94)
(-9.38, 46.26)
(-69.23, 81.37)
(-23.01, 95.09)
(38.57, -60.81)
(-33.67, 7.8)
(4.51, -12.42)
(-90.64, -28.83)
(-9.17, 76.27)
(42.18, -29.12)
(89.98, 50.6)
(13.18, -37.65)
(32.08, -25.21)
(38.81, -46.0)
(75.76, 80.02)
(37.6, 18.38)
(-79.01, 36.68)
(-36.11, 73.28)
(38.34, 89.82)
(-54.6, -79.78)
(61.54, 79.16)
(-72.32, 49.33)
(-96.38, -56.86)
(49.63, 66.85)
(0.86, -29.78)
(88.3, 89.0)
(95.24, 75.31)
(-2.57, -82.64)
(-60.74, 37.79)
(65.33, 20.83)
(5.42, -5.49)
(27.68, -43.8)
(-33.19, 87.2)
(66.66, -63.68)
(71.66, 18.91)
(89.77, -0.2)
(17.89, 37.87)
(2.74, -33.94)
(-97.26, 51.05)
(15.92, 21.58)
(-63.08, -91.52)
(-22.4, -90.64)
(-98.59, -68.76)
(98.09, -63.44)
(95.6, 34.12)
(17.41, -49.63)
(14.28, 5.85)
(-20.58, -52.83)
(-6.74, 87.25)
(-94.81, -77.21)
(-35.89, -63.22)
(20.32, 5.24)
(-80.62, 59.82)
(65.3, 69.61)
(96.38, 3.54)
(-18.28, -62.15)
(91.07, -24.19)
(74.73, 22.11)
(-52.87, -5.84)
(57.22, 44.75)
(42.4, -20.1)
(-81.69, 5.63)
(66.04, -49.24)
(33.31, 94.36)
(-4.29, -51.38)
(58.0, -95.46)
(65.42, -68.13)
(-62.48, -95.92)
(-19.08, 75.79)
(-20.27, -90.0)
(-36.61, -81.9)
(-15.02, 90.65)
(-76.27, -74.94)
